Timeslot,BG,EG,HG,MG,MS,OP,OV,PS
07:00,0.0,0.125,5.2,0.125,0.1111111111111111,0.5,0.0,0.0
07:30,0.5,3.375,6.6,1.625,6.0,7.75,7.125,1.75
08:00,4.0,6.375,7.2,5.625,13.333333333333332,15.75,11.875,11.0
08:30,3.25,6.125,10.399999999999999,6.0,10.777777777777779,9.25,11.875,8.375
09:00,8.0,12.375,13.600000000000001,9.75,16.77777777777778,14.25,14.75,16.375
09:30,7.0,10.125,9.8,7.125,18.11111111111111,22.0,15.5,16.375
10:00,14.75,14.375,17.8,18.0,20.333333333333336,32.0,15.0,19.5
10:30,16.5,19.75,17.0,7.25,22.88888888888889,18.0,15.625,20.75
11:00,15.25,18.0,10.399999999999999,12.875,19.77777777777778,24.5,17.25,22.25
11:30,17.5,16.25,13.4,10.75,24.11111111111111,24.5,18.5,19.125
12:00,20.5,17.25,9.4,15.125,26.444444444444443,47.5,19.375,20.5
12:30,18.5,20.25,12.8,12.25,25.22222222222222,38.25,20.5,24.25
13:00,16.25,13.125,11.2,11.625,23.88888888888889,34.75,16.375,20.75
13:30,15.0,15.375,7.6,8.5,20.0,26.25,10.0,19.5
14:00,17.0,15.5,6.8,8.625,14.555555555555557,22.75,11.625,23.375
14:30,14.25,19.375,5.800000000000001,9.0,15.444444444444443,32.0,7.875,18.625
15:00,11.25,13.0,5.4,0.75,17.333333333333332,34.0,6.25,11.5
15:30,13.5,3.5,5.2,0.0,14.444444444444443,16.0,1.0,13.625
16:00,0.75,1.25,5.0,0.0,11.444444444444445,17.5,0.0,10.625
16:30,0.0,0.5,3.4,0.0,11.666666666666666,17.75,0.0,6.0
17:00,0.0,0.0,3.2,0.0,0.5555555555555556,23.0,0.0,3.125
17:30,0.0,0.0,1.7999999999999998,0.0,0.0,30.25,0.0,0.125
