Store,Year,Month,Date,Day Part,Table Type,Net Sales,# Trans,Avg / Trans,# Guests,Avg / Guest,# Tables,Avg / Table,# Guest / Trans,# Guest / Table
UW Dining,2022,2,1,07:30 - 07:44,Cashier,10.7,2,5.35,2,5.35,2,5.35,1,1
,,,,07:45 - 07:59,Cashier,6.7,2,3.35,2,3.35,2,3.35,1,1
,,,,08:00 - 08:14,Cashier,7.45,1,7.45,1,7.45,1,7.45,1,1
,,,,08:15 - 08:29,Cashier,31.14,7,4.45,7,4.45,7,4.45,1,1
,,,,08:30 - 08:44,Cashier,9.25,2,4.63,2,4.63,2,4.63,1,1
,,,,08:45 - 08:59,Cashier,12.95,3,4.32,3,4.32,3,4.32,1,1
,,,,09:00 - 09:14,Cashier,18.3,4,4.58,4,4.58,4,4.58,1,1
,,,,09:15 - 09:29,Cashier,33.33,5,6.67,5,6.67,5,6.67,1,1
,,,,09:30 - 09:44,Cashier,49.33,6,8.22,6,8.22,6,8.22,1,1
,,,,09:45 - 09:59,Cashier,18.95,4,4.74,4,4.74,4,4.74,1,1
,,,,10:00 - 10:14,Cashier,25.38,5,5.08,5,5.08,5,5.08,1,1
,,,,10:15 - 10:29,Cashier,38.13,6,6.36,6,6.36,6,6.36,1,1
,,,,10:30 - 10:44,Cashier,72.03,10,7.2,10,7.2,10,7.2,1,1
,,,,10:45 - 10:59,Cashier,17.65,5,3.53,4,4.41,5,3.53,0.8,0.8
,,,,11:00 - 11:14,Cashier,15.95,5,3.19,5,3.19,5,3.19,1,1
,,,,11:15 - 11:29,Cashier,36.49,7,5.21,7,5.21,7,5.21,1,1
,,,,11:30 - 11:44,Cashier,104.64,14,7.47,14,7.47,14,7.47,1,1
,,,,11:45 - 11:59,Cashier,72.86,10,7.29,10,7.29,10,7.29,1,1
,,,,12:00 - 12:14,Cashier,48.04,8,6,8,6,8,6,1,1
,,,,12:15 - 12:29,Cashier,62.86,9,6.98,9,6.98,9,6.98,1,1
,,,,12:30 - 12:44,Cashier,71.45,8,8.93,8,8.93,8,8.93,1,1
