Year,Month,Date,Day Part,Table Type,Net Sales,# Trans,Avg / Trans,# Guests,Avg / Guest,# Tables,Avg / Table,# Guest / Trans,# Guest / Table
2022,3,1,07:00 - 07:14,Cashier,8.2,2,4.1,2,4.1,2,4.1,1,1
,,,07:15 - 07:29,Cashier,36.32,6,6.05,6,6.05,6,6.05,1,1
,,,07:30 - 07:44,Cashier,9.53,2,4.76,2,4.76,2,4.76,1,1
,,,07:45 - 07:59,Cashier,26.53,2,13.27,2,13.27,2,13.27,1,1
,,,08:00 - 08:14,Cashier,43.55,6,7.26,6,7.26,6,7.26,1,1
,,,08:15 - 08:29,Cashier,44.82,6,7.47,6,7.47,6,7.47,1,1
,,,08:30 - 08:44,Cashier,27.34,4,6.83,4,6.83,4,6.83,1,1
,,,08:45 - 08:59,Cashier,30.63,5,6.13,5,6.13,5,6.13,1,1
,,,09:00 - 09:14,Cashier,34.45,5,6.89,5,6.89,5,6.89,1,1
,,,09:15 - 09:29,Cashier,80.65,9,8.96,9,8.96,9,8.96,1,1
,,,09:30 - 09:44,Cashier,17.88,3,5.96,3,5.96,3,5.96,1,1
,,,09:45 - 09:59,Cashier,62.08,9,6.9,9,6.9,9,6.9,1,1
,,,10:00 - 10:14,Cashier,82.95,9,9.22,9,9.22,9,9.22,1,1
,,,10:15 - 10:29,Cashier,46.33,6,7.72,6,7.72,6,7.72,1,1
,,,10:30 - 10:44,Cashier,35.38,5,7.08,5,7.08,5,7.08,1,1
,,,10:45 - 10:59,Cashier,70.21,8,8.78,8,8.78,8,8.78,1,1
,,,11:00 - 11:14,Cashier,113.12,10,11.31,10,11.31,10,11.31,1,1
,,,11:15 - 11:29,Cashier,49.07,5,9.81,5,9.81,5,9.81,1,1
,,,11:30 - 11:44,Cashier,67.92,7,9.7,7,9.7,7,9.7,1,1
,,,11:45 - 11:59,Cashier,99.33,12,8.28,12,8.28,12,8.28,1,1
,,,12:00 - 12:14,Cashier,72.09,10,7.21,10,7.21,10,7.21,1,1
,,,12:15 - 12:29,Cashier,49.61,6,8.27,6,8.27,6,8.27,1,1
,,,12:30 - 12:44,Cashier,47.86,8,5.98,8,5.98,8,5.98,1,1
,,,12:45 - 12:59,Cashier,42.17,7,6.02,7,6.02,7,6.02,1,1
,,,13:00 - 13:14,Cashier,39.05,5,7.81,5,7.81,5,7.81,1,1
,,,13:15 - 13:29,Cashier,9.94,2,4.97,2,4.97,2,4.97,1,1
,,,13:30 - 13:44,Cashier,17.69,3,5.9,3,5.9,3,5.9,1,1
,,,13:45 - 13:59,Cashier,45.82,5,9.16,5,9.16,5,9.16,1,1
,,,14:00 - 14:14,Cashier,37.25,7,5.32,7,5.32,7,5.32,1,1
,,,14:15 - 14:29,Cashier,7.6,2,3.8,2,3.8,2,3.8,1,1
,,,14:30 - 14:44,Cashier,10.89,3,3.63,3,3.63,3,3.63,1,1
,,,14:45 - 14:59,Cashier,10.99,1,10.99,1,10.99,1,10.99,1,1
,,,15:00 - 15:14,Cashier,19.44,4,4.86,4,4.86,4,4.86,1,1
,,,15:15 - 15:29,Cashier,50.03,5,10.01,5,10.01,5,10.01,1,1
,,,15:30 - 15:44,Cashier,3,1,3,1,3,1,3,1,1
,,,15:45 - 15:59,Cashier,19.48,3,6.49,3,6.49,3,6.49,1,1
,,,16:00 - 16:14,Cashier,6.2,2,3.1,2,3.1,2,3.1,1,1
,,,16:15 - 16:29,Cashier,10.1,2,5.05,2,5.05,2,5.05,1,1
,,,16:30 - 16:44,Cashier,16.85,3,5.62,3,5.62,3,5.62,1,1
,,,16:45 - 16:59,Cashier,2.45,1,2.45,1,2.45,1,2.45,1,1
,,,17:00 - 17:14,Cashier,24.4,2,12.2,2,12.2,2,12.2,1,1
,,,17:15 - 17:29,Cashier,9.7,1,9.7,1,9.7,1,9.7,1,1
,,1,---,---,1538.9,204,7.54,204,7.54,204,7.54,1,1
,,2,07:00 - 07:14,Cashier,10.05,2,5.03,2,5.03,2,5.03,1,1
,,,07:15 - 07:29,Cashier,47.68,5,9.54,5,9.54,5,9.54,1,1
,,,07:30 - 07:44,Cashier,68.9,8,8.61,8,8.61,8,8.61,1,1
,,,07:45 - 07:59,Cashier,20.05,2,10.03,2,10.03,2,10.03,1,1
,,,08:00 - 08:14,Cashier,32.53,4,8.13,4,8.13,4,8.13,1,1
,,,08:15 - 08:29,Cashier,17.64,3,5.88,3,5.88,3,5.88,1,1
,,,08:30 - 08:44,Cashier,19.04,3,6.35,3,6.35,3,6.35,1,1
,,,08:45 - 08:59,Cashier,51.1,9,5.68,9,5.68,9,5.68,1,1
,,,09:00 - 09:14,Cashier,62.5,7,8.93,7,8.93,7,8.93,1,1
,,,09:15 - 09:29,Cashier,24.55,6,4.09,6,4.09,6,4.09,1,1
,,,09:30 - 09:44,Cashier,27.44,4,6.86,4,6.86,4,6.86,1,1
,,,09:45 - 09:59,Cashier,21.89,3,7.3,3,7.3,3,7.3,1,1
,,,10:00 - 10:14,Cashier,33.81,7,4.83,7,4.83,7,4.83,1,1
,,,10:15 - 10:29,Cashier,79.05,10,7.91,10,7.91,10,7.91,1,1
,,,10:30 - 10:44,Cashier,61.26,11,5.57,11,5.57,11,5.57,1,1
,,,10:45 - 10:59,Cashier,57.04,6,9.51,6,9.51,6,9.51,1,1
,,,11:00 - 11:14,Cashier,59.4,8,7.42,8,7.42,8,7.42,1,1
,,,11:15 - 11:29,Cashier,46.28,5,9.26,5,9.26,5,9.26,1,1
,,,11:30 - 11:44,Cashier,75,6,12.5,6,12.5,6,12.5,1,1
,,,11:45 - 11:59,Cashier,55.68,5,11.14,5,11.14,5,11.14,1,1
,,,12:00 - 12:14,Cashier,81.41,8,10.18,8,10.18,8,10.18,1,1
,,,12:15 - 12:29,Cashier,12.2,1,12.2,1,12.2,1,12.2,1,1
,,,12:30 - 12:44,Cashier,71.79,8,8.97,8,8.97,8,8.97,1,1
,,,12:45 - 12:59,Cashier,44.68,8,5.58,8,5.58,8,5.58,1,1
,,,13:00 - 13:14,Cashier,17.45,2,8.72,2,8.72,2,8.72,1,1
,,,13:15 - 13:29,Cashier,52.54,8,6.57,8,6.57,8,6.57,1,1
,,,13:30 - 13:44,Cashier,61.77,7,8.82,7,8.82,7,8.82,1,1
,,,13:45 - 13:59,Cashier,4.95,1,4.95,1,4.95,1,4.95,1,1
,,,14:00 - 14:14,Cashier,30.92,3,10.31,3,10.31,3,10.31,1,1
,,,14:15 - 14:29,Cashier,5.4,1,5.4,1,5.4,1,5.4,1,1
,,,14:30 - 14:44,Cashier,48.19,6,8.03,6,8.03,6,8.03,1,1
,,,14:45 - 14:59,Cashier,16.65,2,8.32,2,8.32,2,8.32,1,1
,,,15:00 - 15:14,Cashier,25.74,4,6.43,4,6.43,4,6.43,1,1
,,,15:15 - 15:29,Cashier,11.79,2,5.89,2,5.89,2,5.89,1,1
,,,15:30 - 15:44,Cashier,22.9,3,7.63,3,7.63,3,7.63,1,1
,,,15:45 - 15:59,Cashier,10.9,2,5.45,2,5.45,2,5.45,1,1
,,,16:00 - 16:14,Cashier,22.82,3,7.61,3,7.61,3,7.61,1,1
,,,16:15 - 16:29,Cashier,7.04,2,3.52,2,3.52,2,3.52,1,1
,,,16:30 - 16:44,Cashier,2.45,1,2.45,1,2.45,1,2.45,1,1
,,,16:45 - 16:59,Cashier,32.03,3,10.68,3,10.68,3,10.68,1,1
,,,17:00 - 17:14,Cashier,16.6,3,5.53,3,5.53,3,5.53,1,1
,,,17:15 - 17:29,Cashier,21.14,3,7.05,3,7.05,3,7.05,1,1
,,,17:30 - 17:44,Cashier,4.85,1,4.85,1,4.85,1,4.85,1,1
,,,17:45 - 17:59,Cashier,2.95,1,2.95,1,2.95,1,2.95,1,1
,,2,---,---,1500.05,197,7.61,197,7.61,197,7.61,1,1
,,3,07:00 - 07:14,Cashier,12.73,2,6.37,2,6.37,2,6.37,1,1
,,,07:15 - 07:29,Cashier,21.68,4,5.42,4,5.42,4,5.42,1,1
,,,07:30 - 07:44,Cashier,13.9,2,6.95,2,6.95,2,6.95,1,1
,,,07:45 - 07:59,Cashier,25.13,5,5.03,5,5.03,5,5.03,1,1
,,,08:00 - 08:14,Cashier,70.54,8,8.82,8,8.82,8,8.82,1,1
,,,08:15 - 08:29,Cashier,36.53,4,9.13,4,9.13,4,9.13,1,1
,,,08:30 - 08:44,Cashier,38.07,6,6.34,6,6.34,6,6.34,1,1
,,,08:45 - 08:59,Cashier,47,6,7.83,6,7.83,6,7.83,1,1
,,,09:00 - 09:14,Cashier,54.21,8,6.78,8,6.78,8,6.78,1,1
,,,09:15 - 09:29,Cashier,34.09,6,5.68,6,5.68,6,5.68,1,1
,,,09:30 - 09:44,Cashier,78.28,10,7.83,10,7.83,10,7.83,1,1
,,,09:45 - 09:59,Cashier,51.28,5,10.26,5,10.26,5,10.26,1,1
,,,10:00 - 10:14,Cashier,37.17,5,7.43,5,7.43,5,7.43,1,1
,,,10:15 - 10:29,Cashier,99.27,15,6.62,15,6.62,15,6.62,1,1
,,,10:30 - 10:44,Cashier,86.96,12,7.25,12,7.25,12,7.25,1,1
,,,10:45 - 10:59,Cashier,24.19,3,8.06,3,8.06,3,8.06,1,1
,,,11:00 - 11:14,Cashier,54.81,8,6.85,8,6.85,8,6.85,1,1
,,,11:15 - 11:29,Cashier,69.18,7,9.88,7,9.88,7,9.88,1,1
,,,11:30 - 11:44,Cashier,46.07,8,5.76,8,5.76,8,5.76,1,1
,,,11:45 - 11:59,Cashier,108.23,17,6.37,17,6.37,17,6.37,1,1
