Store,Year,Month,Date,Day Part,Table Type,Net Sales,# Trans,Avg / Trans,# Guests,Avg / Guest,# Tables,Avg / Table,# Guest / Trans,# Guest / Table
UW Dining,2022,2,1,08:00 - 08:14,Cashier,6.25,1,6.25,1,6.25,1,6.25,1.0,1.0
,,,1,08:30 - 08:44,Cashier,2.75,1,2.75,1,2.75,1,2.75,1.0,1.0
,,,1,08:45 - 08:59,Cashier,6.14,1,6.14,1,6.14,1,6.14,1.0,1.0
,,,1,09:00 - 09:14,Cashier,29.89,6,4.98,6,4.98,6,4.98,1.0,1.0
,,,1,09:15 - 09:29,Cashier,42.83,6,7.14,6,7.14,6,7.14,1.0,1.0
,,,1,09:30 - 09:44,Cashier,18.43,4,4.61,4,4.61,4,4.61,1.0,1.0
,,,1,09:45 - 09:59,Cashier,37.7,6,6.28,6,6.28,6,6.28,1.0,1.0
,,,1,10:00 - 10:14,Cashier,15.6,2,7.8,2,7.8,2,7.8,1.0,1.0
,,,1,10:15 - 10:29,Cashier,31.75,4,7.94,4,7.94,4,7.94,1.0,1.0
,,,1,10:30 - 10:44,Cashier,63.49,11,5.77,11,5.77,11,5.77,1.0,1.0
,,,1,10:45 - 10:59,Cashier,48.65,5,9.73,5,9.73,5,9.73,1.0,1.0
,,,1,11:00 - 11:14,Cashier,26.18,3,8.73,3,8.73,3,8.73,1.0,1.0
,,,1,11:15 - 11:29,Cashier,72.59,8,9.07,8,9.07,8,9.07,1.0,1.0
,,,1,11:30 - 11:44,Cashier,48.82,9,5.42,9,5.42,9,5.42,1.0,1.0
,,,1,11:45 - 11:59,Cashier,33.44,5,6.69,5,6.69,5,6.69,1.0,1.0
,,,1,12:00 - 12:14,Cashier,54.92,7,7.85,7,7.85,7,7.85,1.0,1.0
,,,1,12:15 - 12:29,Cashier,73.37,9,8.15,9,8.15,9,8.15,1.0,1.0
,,,1,12:30 - 12:44,Cashier,104.65,12,8.72,12,8.72,12,8.72,1.0,1.0
,,,1,12:45 - 12:59,Cashier,71.77,11,6.52,11,6.52,11,6.52,1.0,1.0
,,,1,13:00 - 13:14,Cashier,92.13,12,7.68,12,7.68,12,7.68,1.0,1.0
,,,1,13:15 - 13:29,Cashier,78.61,11,7.15,11,7.15,11,7.15,1.0,1.0
,,,1,13:30 - 13:44,Cashier,76.7,11,6.97,11,6.97,11,6.97,1.0,1.0
,,,1,13:45 - 13:59,Cashier,23.09,5,4.62,4,5.77,5,4.62,0.8,0.8
,,,1,14:00 - 14:14,Cashier,4.75,1,4.75,1,4.75,1,4.75,1.0,1.0
,,,1,14:15 - 14:29,Cashier,55.27,9,6.14,9,6.14,9,6.14,1.0,1.0
,,,1,14:30 - 14:44,Cashier,50.61,10,5.06,10,5.06,10,5.06,1.0,1.0
,,,1,14:45 - 14:59,Cashier,50.31,9,5.59,9,5.59,9,5.59,1.0,1.0
,,,1,15:00 - 15:14,Cashier,36.78,5,7.36,5,7.36,5,7.36,1.0,1.0
,,,1,15:15 - 15:29,Cashier,51.79,8,6.47,8,6.47,8,6.47,1.0,1.0
,,,1,15:30 - 15:44,Cashier,47.74,8,5.97,8,5.97,8,5.97,1.0,1.0
,,,1,15:45 - 15:59,Cashier,12.3,2,6.15,2,6.15,2,6.15,1.0,1.0
,,,1,---,---,1369.3,202,6.78,201,6.81,202,6.78,1.0,1.0
,,,2,08:00 - 08:14,Cashier,12.44,2,6.22,2,6.22,2,6.22,1.0,1.0
,,,2,08:15 - 08:29,Cashier,22.23,3,7.41,3,7.41,3,7.41,1.0,1.0
,,,2,08:30 - 08:44,Cashier,21.89,2,10.95,2,10.95,2,10.95,1.0,1.0
,,,2,08:45 - 08:59,Cashier,7.15,1,7.15,1,7.15,1,7.15,1.0,1.0
,,,2,09:15 - 09:29,Cashier,39.24,9,4.36,8,4.91,9,4.36,0.89,0.89
,,,2,09:30 - 09:44,Cashier,21.57,3,7.19,3,7.19,3,7.19,1.0,1.0
,,,2,09:45 - 09:59,Cashier,4.75,1,4.75,1,4.75,1,4.75,1.0,1.0
,,,2,10:00 - 10:14,Cashier,32.98,5,6.6,5,6.6,5,6.6,1.0,1.0
,,,2,10:15 - 10:29,Cashier,55.16,8,6.89,7,7.88,8,6.89,0.88,0.88
,,,2,10:30 - 10:44,Cashier,124.52,15,8.3,14,8.89,15,8.3,0.93,0.93
,,,2,10:45 - 10:59,Cashier,28.53,4,7.13,4,7.13,4,7.13,1.0,1.0
