Store,Year,Month,Date,Day Part,Table Type,Net Sales,# Trans,Avg / Trans,# Guests,Avg / Guest,# Tables,Avg / Table,# Guest / Trans,# Guest / Table
UW Dining,2022,2,1,07:45 - 07:59,Cashier,14.19,3,4.73,3,4.73,3,4.73,1.0,1.0
,,,1,08:00 - 08:14,Cashier,12.35,2,6.17,2,6.17,2,6.17,1.0,1.0
,,,1,08:15 - 08:29,Cashier,18.84,4,4.71,4,4.71,4,4.71,1.0,1.0
,,,1,08:30 - 08:44,Cashier,23.89,4,5.97,4,5.97,4,5.97,1.0,1.0
,,,1,08:45 - 08:59,Cashier,9.95,2,4.97,2,4.97,2,4.97,1.0,1.0
,,,1,09:00 - 09:14,Cashier,2.95,1,2.95,1,2.95,1,2.95,1.0,1.0
,,,1,09:15 - 09:29,Cashier,21.72,5,4.34,5,4.34,5,4.34,1.0,1.0
,,,1,09:30 - 09:44,Cashier,15.17,3,5.06,3,5.06,3,5.06,1.0,1.0
,,,1,09:45 - 09:59,Cashier,17.78,3,5.93,3,5.93,3,5.93,1.0,1.0
,,,1,10:00 - 10:14,Cashier,12.82,3,4.27,3,4.27,3,4.27,1.0,1.0
,,,1,10:15 - 10:29,Cashier,56.42,8,7.05,8,7.05,8,7.05,1.0,1.0
,,,1,10:30 - 10:44,Cashier,40.52,7,5.79,7,5.79,7,5.79,1.0,1.0
,,,1,10:45 - 10:59,Cashier,42.26,7,6.04,7,6.04,7,6.04,1.0,1.0
,,,1,11:00 - 11:14,Cashier,11.04,3,3.68,3,3.68,3,3.68,1.0,1.0
,,,1,11:15 - 11:29,Cashier,8.5,1,8.5,1,8.5,1,8.5,1.0,1.0
,,,1,11:30 - 11:44,Cashier,53.88,8,6.74,8,6.74,8,6.74,1.0,1.0
,,,1,11:45 - 11:59,Cashier,15.14,3,5.05,3,5.05,3,5.05,1.0,1.0
,,,1,12:00 - 12:14,Cashier,15.79,3,5.26,3,5.26,3,5.26,1.0,1.0
,,,1,12:15 - 12:29,Cashier,46.89,9,5.21,9,5.21,9,5.21,1.0,1.0
,,,1,12:30 - 12:44,Cashier,12.79,2,6.39,2,6.39,2,6.39,1.0,1.0
,,,1,12:45 - 12:59,Cashier,23.91,5,4.78,5,4.78,5,4.78,1.0,1.0
,,,1,13:00 - 13:14,Cashier,21.72,4,5.43,4,5.43,4,5.43,1.0,1.0
,,,1,13:15 - 13:29,Cashier,6.84,2,3.42,2,3.42,2,3.42,1.0,1.0
,,,1,13:30 - 13:44,Cashier,10.85,1,10.85,1,10.85,1,10.85,1.0,1.0
