Year,Month,Date,Day Part,Table Type,Net Sales,# Trans,Avg / Trans,# Guests,Avg / Guest,# Tables,Avg / Table,# Guest / Trans,# Guest / Table
2022,2,1,07:30 - 07:44,Cashier,11.25,3,3.75,3,3.75,3,3.75,1.0,1.0
,,1,08:00 - 08:14,Cashier,40.65,6,6.78,5,8.13,6,6.78,0.83,0.83
,,1,08:15 - 08:29,Cashier,10.65,2,5.33,2,5.33,2,5.33,1.0,1.0
,,1,08:30 - 08:44,Cashier,28.62,5,5.72,5,5.72,5,5.72,1.0,1.0
,,1,08:45 - 08:59,Cashier,21.25,5,4.25,5,4.25,5,4.25,1.0,1.0
,,1,09:00 - 09:14,Cashier,42.37,7,6.05,7,6.05,7,6.05,1.0,1.0
,,1,09:15 - 09:29,Cashier,72.18,11,6.56,11,6.56,11,6.56,1.0,1.0
,,1,09:30 - 09:44,Cashier,55.11,9,6.12,9,6.12,9,6.12,1.0,1.0
,,1,09:45 - 09:59,Cashier,34.35,5,6.87,5,6.87,5,6.87,1.0,1.0
,,1,10:00 - 10:14,Cashier,39.48,8,4.93,8,4.93,8,4.93,1.0,1.0
,,1,10:15 - 10:29,Cashier,63.07,11,5.73,11,5.73,11,5.73,1.0,1.0
,,1,10:30 - 10:44,Cashier,52.83,8,6.6,8,6.6,8,6.6,1.0,1.0
,,1,10:45 - 10:59,Cashier,47.21,7,6.74,7,6.74,7,6.74,1.0,1.0
,,1,11:00 - 11:14,Cashier,27.24,5,5.45,5,5.45,5,5.45,1.0,1.0
,,1,11:15 - 11:29,Cashier,91.29,15,6.09,15,6.09,15,6.09,1.0,1.0
,,1,11:30 - 11:44,Cashier,100.6,15,6.71,15,6.71,15,6.71,1.0,1.0
,,1,11:45 - 11:59,Cashier,45.99,8,5.75,8,5.75,8,5.75,1.0,1.0
,,1,12:00 - 12:14,Cashier,61.24,9,6.8,9,6.8,9,6.8,1.0,1.0
,,1,12:15 - 12:29,Cashier,135.1,15,9.01,15,9.01,15,9.01,1.0,1.0
,,1,12:30 - 12:44,Cashier,118.04,15,7.87,15,7.87,15,7.87,1.0,1.0
,,1,12:45 - 12:59,Cashier,92.15,13,7.09,13,7.09,13,7.09,1.0,1.0
,,1,13:00 - 13:14,Cashier,84.25,15,5.62,15,5.62,15,5.62,1.0,1.0
,,1,13:15 - 13:29,Cashier,60.84,9,6.76,9,6.76,9,6.76,1.0,1.0
,,1,13:30 - 13:44,Cashier,36.1,5,7.22,5,7.22,5,7.22,1.0,1.0
,,1,13:45 - 13:59,Cashier,62.2,8,7.78,8,7.78,8,7.78,1.0,1.0
