Store,Year,Month,Date,Day Part,Table Type,Net Sales,# Trans,Avg / Trans,# Guests,Avg / Guest,# Tables,Avg / Table,# Guest / Trans,# Guest / Table
UW Dining,2022,2,1,07:30 - 07:44,Cashier,21.28,4,5.32,4,5.32,4,5.32,1.0,1.0
,,,1,08:00 - 08:14,Cashier,8.23,2,4.12,2,4.12,2,4.12,1.0,1.0
,,,1,08:15 - 08:29,Cashier,61.47,15,4.1,15,4.1,15,4.1,1.0,1.0
,,,1,08:30 - 08:44,Cashier,21.9,5,4.38,5,4.38,5,4.38,1.0,1.0
,,,1,08:45 - 08:59,Cashier,16.44,4,4.11,4,4.11,4,4.11,1.0,1.0
,,,1,09:00 - 09:14,Cashier,42.52,9,4.72,9,4.72,9,4.72,1.0,1.0
,,,1,09:15 - 09:29,Cashier,74.87,14,5.35,14,5.35,14,5.35,1.0,1.0
,,,1,09:30 - 09:44,Cashier,29.2,5,5.84,5,5.84,5,5.84,1.0,1.0
,,,1,09:45 - 09:59,Cashier,76.99,12,6.42,12,6.42,12,6.42,1.0,1.0
,,,1,10:00 - 10:14,Cashier,15.55,4,3.89,4,3.89,4,3.89,1.0,1.0
,,,1,10:15 - 10:29,Cashier,159.69,29,5.51,29,5.51,29,5.51,1.0,1.0
,,,1,10:30 - 10:44,Cashier,100.46,12,8.37,12,8.37,12,8.37,1.0,1.0
,,,1,10:45 - 10:59,Cashier,57.29,6,9.55,6,9.55,6,9.55,1.0,1.0
,,,1,11:00 - 11:14,Cashier,63.36,11,5.76,11,5.76,11,5.76,1.0,1.0
,,,1,11:15 - 11:29,Cashier,71.05,10,7.11,10,7.11,10,7.11,1.0,1.0
,,,1,11:30 - 11:44,Cashier,142.96,15,9.53,15,9.53,15,9.53,1.0,1.0
,,,1,11:45 - 11:59,Cashier,73.48,9,8.16,9,8.16,9,8.16,1.0,1.0
,,,1,12:00 - 12:14,Cashier,97.51,13,7.5,13,7.5,13,7.5,1.0,1.0
,,,1,12:15 - 12:29,Cashier,206.46,23,8.98,23,8.98,23,8.98,1.0,1.0
,,,1,12:30 - 12:44,Cashier,199.0,26,7.65,26,7.65,26,7.65,1.0,1.0
,,,1,12:45 - 12:59,Cashier,125.94,15,8.4,15,8.4,15,8.4,1.0,1.0
,,,1,13:00 - 13:14,Cashier,187.64,22,8.53,22,8.53,22,8.53,1.0,1.0
,,,1,13:15 - 13:29,Cashier,136.65,17,8.04,17,8.04,17,8.04,1.0,1.0
,,,1,13:30 - 13:44,Cashier,56.79,11,5.16,11,5.16,11,5.16,1.0,1.0
,,,1,13:45 - 13:59,Cashier,69.11,12,5.76,12,5.76,12,5.76,1.0,1.0
,,,1,14:00 - 14:14,Cashier,52.67,10,5.27,10,5.27,10,5.27,1.0,1.0
,,,1,14:15 - 14:29,Cashier,102.55,17,6.03,17,6.03,17,6.03,1.0,1.0
,,,1,14:30 - 14:44,Cashier,133.61,21,6.36,21,6.36,21,6.36,1.0,1.0
,,,1,14:45 - 14:59,Cashier,35.49,9,3.94,9,3.94,9,3.94,1.0,1.0
,,,1,15:00 - 15:14,Cashier,82.97,15,5.53,15,5.53,15,5.53,1.0,1.0
,,,1,15:15 - 15:29,Cashier,109.04,23,4.74,23,4.74,23,4.74,1.0,1.0
,,,1,15:30 - 15:44,Cashier,72.44,16,4.53,16,4.53,16,4.53,1.0,1.0
,,,1,15:45 - 15:59,Cashier,72.06,6,12.01,6,12.01,6,12.01,1.0,1.0
,,,1,16:00 - 16:14,Cashier,62.72,9,6.97,9,6.97,9,6.97,1.0,1.0
,,,1,16:15 - 16:29,Cashier,81.59,14,5.83,14,5.83,14,5.83,1.0,1.0
,,,1,16:30 - 16:44,Cashier,31.43,6,5.24,6,5.24,6,5.24,1.0,1.0
,,,1,16:45 - 16:59,Cashier,44.11,8,5.51,8,5.51,8,5.51,1.0,1.0
,,,1,17:00 - 17:14,Cashier,33.53,6,5.59,6,5.59,6,5.59,1.0,1.0
,,,1,17:15 - 17:29,Cashier,65.06,7,9.29,7,9.29,7,9.29,1.0,1.0
,,,1,17:30 - 17:44,Cashier,105.1,9,11.68,9,11.68,9,11.68,1.0,1.0
,,,1,17:45 - 17:59,Cashier,33.52,8,4.19,8,4.19,8,4.19,1.0,1.0
,,,1,---,---,3233.73,489,6.61,489,6.61,489,6.61,1.0,1.0
,,,2,07:30 - 07:44,Cashier,2.95,1,2.95,1,2.95,1,2.95,1.0,1.0
,,,2,07:45 - 07:59,Cashier,33.01,6,5.5,6,5.5,6,5.5,1.0,1.0
,,,2,08:00 - 08:14,Cashier,40.85,7,5.84,7,5.84,7,5.84,1.0,1.0
,,,2,08:15 - 08:29,Cashier,35.03,9,3.89,9,3.89,9,3.89,1.0,1.0
,,,2,08:30 - 08:44,Cashier,23.2,5,4.64,5,4.64,5,4.64,1.0,1.0
,,,2,08:45 - 08:59,Cashier,9.68,4,2.42,4,2.42,4,2.42,1.0,1.0
,,,2,09:00 - 09:14,Cashier,6.4,2,3.2,2,3.2,2,3.2,1.0,1.0
,,,2,09:15 - 09:29,Cashier,42.34,9,4.7,9,4.7,9,4.7,1.0,1.0
,,,2,09:30 - 09:44,Cashier,21.34,5,4.27,5,4.27,5,4.27,1.0,1.0
,,,2,09:45 - 09:59,Cashier,52.35,9,5.82,9,5.82,9,5.82,1.0,1.0
,,,2,10:00 - 10:14,Cashier,80.64,12,6.72,12,6.72,12,6.72,1.0,1.0
,,,2,10:00 - 10:14,Tab,7.99,1,7.99,1,7.99,1,7.99,1.0,1.0
,,,2,10:00 - 10:14,---,88.63,13,6.82,13,6.82,13,6.82,1.0,1.0
,,,2,10:15 - 10:29,Cashier,81.9,15,5.46,15,5.46,15,5.46,1.0,1.0
,,,2,10:30 - 10:44,Cashier,107.91,11,9.81,11,9.81,11,9.81,1.0,1.0
,,,2,10:45 - 10:59,Cashier,42.55,6,7.09,6,7.09,6,7.09,1.0,1.0
,,,2,10:45 - 10:59,Tab,11.28,1,11.28,1,11.28,1,11.28,1.0,1.0
,,,2,10:45 - 10:59,---,53.83,7,7.69,7,7.69,7,7.69,1.0,1.0
,,,2,11:00 - 11:14,Cashier,47.01,7,6.72,7,6.72,7,6.72,1.0,1.0
,,,2,11:00 - 11:14,Tab,17.17,2,8.59,2,8.59,2,8.59,1.0,1.0
,,,2,11:00 - 11:14,---,64.18,9,7.13,9,7.13,9,7.13,1.0,1.0
,,,2,11:15 - 11:29,Cashier,100.59,12,8.38,12,8.38,12,8.38,1.0,1.0
,,,2,11:30 - 11:44,Cashier,105.59,13,8.12,13,8.12,13,8.12,1.0,1.0
,,,2,11:30 - 11:44,Tab,7.99,1,7.99,1,7.99,1,7.99,1.0,1.0
,,,2,11:30 - 11:44,---,113.58,14,8.11,14,8.11,14,8.11,1.0,1.0
,,,2,11:45 - 11:59,Cashier,84.59,13,6.51,13,6.51,13,6.51,1.0,1.0
,,,2,12:00 - 12:14,Cashier,210.88,21,10.04,21,10.04,21,10.04,1.0,1.0
,,,2,12:15 - 12:29,Cashier,172.82,24,7.2,24,7.2,24,7.2,1.0,1.0
,,,2,12:15 - 12:29,Tab,7.5,1,7.5,1,7.5,1,7.5,1.0,1.0
,,,2,12:15 - 12:29,---,180.32,25,7.21,25,7.21,25,7.21,1.0,1.0
,,,2,12:30 - 12:44,Cashier,222.91,21,10.61,21,10.61,21,10.61,1.0,1.0
,,,2,12:45 - 12:59,Cashier,152.44,22,6.93,22,6.93,22,6.93,1.0,1.0
,,,2,12:45 - 12:59,Tab,7.99,1,7.99,1,7.99,1,7.99,1.0,1.0
,,,2,12:45 - 12:59,---,160.43,23,6.98,23,6.98,23,6.98,1.0,1.0
,,,2,13:00 - 13:14,Cashier,90.25,14,6.45,14,6.45,14,6.45,1.0,1.0
,,,2,13:15 - 13:29,Cashier,134.29,20,6.71,20,6.71,20,6.71,1.0,1.0
,,,2,13:30 - 13:44,Cashier,146.05,20,7.3,20,7.3,20,7.3,1.0,1.0
,,,2,13:45 - 13:59,Cashier,54.75,10,5.47,10,5.47,10,5.47,1.0,1.0
,,,2,14:00 - 14:14,Cashier,30.89,6,5.15,6,5.15,6,5.15,1.0,1.0
,,,2,14:15 - 14:29,Cashier,53.39,10,5.34,10,5.34,10,5.34,1.0,1.0
,,,2,14:30 - 14:44,Cashier,117.59,22,5.34,22,5.34,22,5.34,1.0,1.0
,,,2,14:45 - 14:59,Cashier,55.12,11,5.01,11,5.01,11,5.01,1.0,1.0
,,,2,15:00 - 15:14,Cashier,82.38,14,5.88,14,5.88,14,5.88,1.0,1.0
,,,2,15:15 - 15:29,Cashier,116.23,20,5.81,20,5.81,20,5.81,1.0,1.0
,,,2,15:30 - 15:44,Cashier,79.76,11,7.25,11,7.25,11,7.25,1.0,1.0
,,,2,15:45 - 15:59,Cashier,24.35,4,6.09,4,6.09,4,6.09,1.0,1.0
,,,2,16:00 - 16:14,Cashier,67.47,8,8.43,8,8.43,8,8.43,1.0,1.0
,,,2,16:15 - 16:29,Cashier,44.2,5,8.84,5,8.84,5,8.84,1.0,1.0
,,,2,16:30 - 16:44,Cashier,38.45,9,4.27,9,4.27,9,4.27,1.0,1.0
,,,2,16:45 - 16:59,Cashier,34.98,9,3.89,9,3.89,9,3.89,1.0,1.0
,,,2,17:00 - 17:14,Cashier,73.43,9,8.16,9,8.16,9,8.16,1.0,1.0
,,,2,17:15 - 17:29,Cashier,41.7,7,5.96,7,5.96,7,5.96,1.0,1.0
,,,2,17:30 - 17:44,Cashier,96.28,16,6.02,16,6.02,16,6.02,1.0,1.0
,,,2,17:45 - 17:59,Cashier,70.13,10,7.01,10,7.01,10,7.01,1.0,1.0
,,,2,18:00 - 18:14,Cashier,0.5,1,0.5,1,0.5,1,0.5,1.0,1.0
,,,2,18:15 - 18:29,Cashier,15.06,4,3.77,4,3.77,4,3.77,1.0,1.0
,,,2,---,---,3204.15,481,6.66,481,6.66,481,6.66,1.0,1.0
,,,3,07:15 - 07:29,Cashier,5.34,1,5.34,1,5.34,1,5.34,1.0,1.0
,,,3,07:30 - 07:44,Cashier,17.3,3,5.77,3,5.77,3,5.77,1.0,1.0
,,,3,07:45 - 07:59,Cashier,43.74,6,7.29,6,7.29,6,7.29,1.0,1.0
,,,3,08:00 - 08:14,Cashier,36.69,8,4.59,8,4.59,8,4.59,1.0,1.0
,,,3,08:15 - 08:29,Cashier,44.68,10,4.47,10,4.47,10,4.47,1.0,1.0
,,,3,08:30 - 08:44,Cashier,43.07,8,5.38,8,5.38,8,5.38,1.0,1.0
,,,3,08:45 - 08:59,Cashier,46.99,6,7.83,6,7.83,6,7.83,1.0,1.0
,,,3,09:00 - 09:14,Cashier,22.58,4,5.64,4,5.64,4,5.64,1.0,1.0
,,,3,09:15 - 09:29,Cashier,48.28,9,5.36,9,5.36,9,5.36,1.0,1.0
,,,3,09:30 - 09:44,Cashier,89.9,16,5.62,16,5.62,16,5.62,1.0,1.0
,,,3,09:45 - 09:59,Cashier,50.04,11,4.55,11,4.55,11,4.55,1.0,1.0
,,,3,10:00 - 10:14,Cashier,44.46,9,4.94,9,4.94,9,4.94,1.0,1.0
,,,3,10:15 - 10:29,Cashier,128.34,19,6.75,19,6.75,19,6.75,1.0,1.0
,,,3,10:30 - 10:44,Cashier,74.59,12,6.22,12,6.22,12,6.22,1.0,1.0
,,,3,10:45 - 10:59,Cashier,44.47,5,8.89,5,8.89,5,8.89,1.0,1.0
,,,3,11:00 - 11:14,Cashier,51.68,5,10.34,5,10.34,5,10.34,1.0,1.0
,,,3,11:15 - 11:29,Cashier,190.06,23,8.26,23,8.26,23,8.26,1.0,1.0
