Store,Year,Month,Date,Day Part,Table Type,Net Sales,# Trans,Avg / Trans,# Guests,Avg / Guest,# Tables,Avg / Table,# Guest / Trans,# Guest / Table
UW Dining,2022,2,1,07:30 - 07:44,Cashier,21.99,4,5.5,4,5.5,4,5.5,1.0,1.0
,,,1,07:45 - 07:59,Cashier,28.08,4,7.02,4,7.02,4,7.02,1.0,1.0
,,,1,08:00 - 08:14,Cashier,38.09,6,6.35,6,6.35,6,6.35,1.0,1.0
,,,1,08:15 - 08:29,Cashier,20.94,5,4.19,5,4.19,5,4.19,1.0,1.0
,,,1,08:30 - 08:44,Cashier,24.69,4,6.17,4,6.17,4,6.17,1.0,1.0
,,,1,08:45 - 08:59,Cashier,4.9,2,2.45,2,2.45,2,2.45,1.0,1.0
,,,1,09:00 - 09:14,Cashier,12.84,3,4.28,3,4.28,3,4.28,1.0,1.0
,,,1,09:15 - 09:29,Cashier,57.81,11,5.26,11,5.26,11,5.26,1.0,1.0
,,,1,09:30 - 09:44,Cashier,58.26,7,8.32,7,8.32,7,8.32,1.0,1.0
,,,1,09:45 - 09:59,Cashier,56.27,7,8.04,7,8.04,7,8.04,1.0,1.0
,,,1,10:00 - 10:14,Cashier,29.54,6,4.92,6,4.92,6,4.92,1.0,1.0
,,,1,10:15 - 10:29,Cashier,44.17,7,6.31,7,6.31,7,6.31,1.0,1.0
,,,1,10:30 - 10:44,Cashier,45.84,6,7.64,6,7.64,6,7.64,1.0,1.0
,,,1,10:45 - 10:59,Cashier,36.98,7,5.28,7,5.28,7,5.28,1.0,1.0
,,,1,11:00 - 11:14,Cashier,28.38,5,5.68,5,5.68,5,5.68,1.0,1.0
,,,1,11:15 - 11:29,Cashier,66.19,8,8.27,8,8.27,8,8.27,1.0,1.0
,,,1,11:30 - 11:44,Cashier,61.45,9,6.83,9,6.83,9,6.83,1.0,1.0
,,,1,11:45 - 11:59,Cashier,61.59,7,8.8,7,8.8,7,8.8,1.0,1.0
,,,1,12:00 - 12:14,Cashier,25.09,5,5.02,5,5.02,5,5.02,1.0,1.0
,,,1,12:15 - 12:29,Cashier,62.64,10,6.26,10,6.26,10,6.26,1.0,1.0
,,,1,12:30 - 12:44,Cashier,80.94,12,6.75,12,6.75,12,6.75,1.0,1.0
,,,1,12:45 - 12:59,Cashier,50.13,7,7.16,7,7.16,7,7.16,1.0,1.0
,,,1,13:00 - 13:14,Cashier,47.75,8,5.97,8,5.97,8,5.97,1.0,1.0
,,,1,13:30 - 13:44,Cashier,49.02,8,6.13,8,6.13,8,6.13,1.0,1.0
,,,1,13:45 - 13:59,Cashier,26.24,5,5.25,5,5.25,5,5.25,1.0,1.0
,,,1,14:00 - 14:14,Cashier,10.09,1,10.09,1,10.09,1,10.09,1.0,1.0
,,,1,14:15 - 14:29,Cashier,37.17,7,5.31,7,5.31,7,5.31,1.0,1.0
,,,1,14:30 - 14:44,Cashier,22.99,5,4.6,5,4.6,5,4.6,1.0,1.0
,,,1,14:45 - 14:59,Cashier,32.29,6,5.38,6,5.38,6,5.38,1.0,1.0
,,,1,15:00 - 15:14,Cashier,27.03,4,6.76,4,6.76,4,6.76,1.0,1.0
,,,1,---,---,1169.39,186,6.29,186,6.29,186,6.29,1.0,1.0
,,,2,07:30 - 07:44,Cashier,20.4,4,5.1,4,5.1,4,5.1,1.0,1.0
,,,2,07:45 - 07:59,Cashier,10.9,2,5.45,2,5.45,2,5.45,1.0,1.0
,,,2,08:00 - 08:14,Cashier,42.03,7,6.0,7,6.0,7,6.0,1.0,1.0
,,,2,08:15 - 08:29,Cashier,44.45,7,6.35,7,6.35,7,6.35,1.0,1.0
,,,2,08:30 - 08:44,Cashier,38.14,5,7.63,5,7.63,5,7.63,1.0,1.0
,,,2,08:45 - 08:59,Cashier,16.45,2,8.22,2,8.22,2,8.22,1.0,1.0
,,,2,09:00 - 09:14,Cashier,24.48,4,6.12,4,6.12,4,6.12,1.0,1.0
,,,2,09:15 - 09:29,Cashier,68.79,13,5.29,13,5.29,13,5.29,1.0,1.0
,,,2,09:30 - 09:44,Cashier,36.88,8,4.61,8,4.61,8,4.61,1.0,1.0
,,,2,09:45 - 09:59,Cashier,44.23,8,5.53,8,5.53,8,5.53,1.0,1.0
,,,2,10:00 - 10:14,Cashier,27.95,6,4.66,6,4.66,6,4.66,1.0,1.0
,,,2,10:15 - 10:29,Cashier,43.38,7,6.2,7,6.2,7,6.2,1.0,1.0
,,,2,10:30 - 10:44,Cashier,63.77,9,7.09,9,7.09,9,7.09,1.0,1.0
,,,2,10:45 - 10:59,Cashier,72.1,10,7.21,10,7.21,10,7.21,1.0,1.0
,,,2,11:00 - 11:14,Cashier,22.23,4,5.56,4,5.56,4,5.56,1.0,1.0
,,,2,11:15 - 11:29,Cashier,105.97,16,6.62,16,6.62,16,6.62,1.0,1.0
,,,2,11:30 - 11:44,Cashier,120.5,16,7.53,16,7.53,16,7.53,1.0,1.0
,,,2,11:45 - 11:59,Cashier,40.7,5,8.14,5,8.14,5,8.14,1.0,1.0
,,,2,12:00 - 12:14,Cashier,40.36,9,4.48,9,4.48,9,4.48,1.0,1.0
,,,2,12:15 - 12:29,Cashier,60.15,9,6.68,9,6.68,9,6.68,1.0,1.0
,,,2,12:30 - 12:44,Cashier,63.45,12,5.29,12,5.29,12,5.29,1.0,1.0
,,,2,12:45 - 12:59,Cashier,43.32,6,7.22,6,7.22,6,7.22,1.0,1.0
,,,2,13:00 - 13:14,Cashier,24.59,5,4.92,5,4.92,5,4.92,1.0,1.0
,,,2,13:15 - 13:29,Cashier,47.87,7,6.84,7,6.84,7,6.84,1.0,1.0
,,,2,13:30 - 13:44,Cashier,40.16,7,5.74,7,5.74,7,5.74,1.0,1.0
,,,2,13:45 - 13:59,Cashier,29.64,6,4.94,6,4.94,6,4.94,1.0,1.0
,,,2,14:00 - 14:14,Cashier,35.87,6,5.98,6,5.98,6,5.98,1.0,1.0
,,,2,14:15 - 14:29,Cashier,18.95,5,3.79,5,3.79,5,3.79,1.0,1.0
,,,2,14:30 - 14:44,Cashier,34.95,3,11.65,3,11.65,3,11.65,1.0,1.0
,,,2,14:45 - 14:59,Cashier,4.09,2,2.04,2,2.04,2,2.04,1.0,1.0
,,,2,15:00 - 15:14,Cashier,3.0,1,3.0,1,3.0,1,3.0,1.0,1.0
,,,2,15:15 - 15:29,Cashier,9.73,2,4.87,2,4.87,2,4.87,1.0,1.0
,,,2,15:30 - 15:44,Cashier,7.49,1,7.49,1,7.49,1,7.49,1.0,1.0
,,,2,---,---,1306.97,214,6.11,214,6.11,214,6.11,1.0,1.0
,,,3,07:30 - 07:44,Cashier,9.29,2,4.64,2,4.64,2,4.64,1.0,1.0
,,,3,07:45 - 07:59,Cashier,8.4,2,4.2,2,4.2,2,4.2,1.0,1.0
,,,3,08:00 - 08:14,Cashier,30.98,5,6.2,5,6.2,5,6.2,1.0,1.0
,,,3,08:15 - 08:29,Cashier,33.73,5,6.75,5,6.75,5,6.75,1.0,1.0
,,,3,08:30 - 08:44,Cashier,15.83,3,5.28,3,5.28,3,5.28,1.0,1.0
,,,3,08:45 - 08:59,Cashier,49.37,6,8.23,6,8.23,6,8.23,1.0,1.0
,,,3,09:00 - 09:14,Cashier,30.62,4,7.66,4,7.66,4,7.66,1.0,1.0
,,,3,09:15 - 09:29,Cashier,34.67,6,5.78,6,5.78,6,5.78,1.0,1.0
,,,3,09:30 - 09:44,Cashier,19.44,3,6.48,3,6.48,3,6.48,1.0,1.0
,,,3,09:45 - 09:59,Cashier,80.38,12,6.7,12,6.7,12,6.7,1.0,1.0
,,,3,10:00 - 10:14,Cashier,53.8,9,5.98,9,5.98,9,5.98,1.0,1.0
,,,3,10:15 - 10:29,Cashier,48.8,8,6.1,8,6.1,8,6.1,1.0,1.0
,,,3,10:30 - 10:44,Cashier,21.2,5,4.24,5,4.24,5,4.24,1.0,1.0
,,,3,10:45 - 10:59,Cashier,38.8,6,6.47,6,6.47,6,6.47,1.0,1.0
,,,3,11:00 - 11:14,Cashier,18.95,3,6.32,3,6.32,3,6.32,1.0,1.0
,,,3,11:15 - 11:29,Cashier,75.41,13,5.8,13,5.8,13,5.8,1.0,1.0
,,,3,11:30 - 11:44,Cashier,31.95,4,7.99,4,7.99,4,7.99,1.0,1.0
,,,3,11:45 - 11:59,Cashier,78.89,13,6.07,13,6.07,13,6.07,1.0,1.0
,,,3,12:00 - 12:14,Cashier,80.39,13,6.18,13,6.18,13,6.18,1.0,1.0
,,,3,12:15 - 12:29,Cashier,95.59,14,6.83,14,6.83,14,6.83,1.0,1.0
,,,3,12:30 - 12:44,Cashier,72.21,11,6.56,11,6.56,11,6.56,1.0,1.0
,,,3,12:45 - 12:59,Cashier,22.43,6,3.74,6,3.74,6,3.74,1.0,1.0
,,,3,13:00 - 13:14,Cashier,91.14,16,5.7,16,5.7,16,5.7,1.0,1.0
,,,3,13:15 - 13:29,Cashier,40.94,8,5.12,8,5.12,8,5.12,1.0,1.0
,,,3,13:30 - 13:44,Cashier,21.6,6,3.6,6,3.6,6,3.6,1.0,1.0
,,,3,13:45 - 13:59,Cashier,21.54,5,4.31,5,4.31,5,4.31,1.0,1.0
,,,3,14:00 - 14:14,Cashier,34.34,6,5.72,6,5.72,6,5.72,1.0,1.0
,,,3,14:15 - 14:29,Cashier,24.08,5,4.82,5,4.82,5,4.82,1.0,1.0
,,,3,14:30 - 14:44,Cashier,4.75,1,4.75,1,4.75,1,4.75,1.0,1.0
,,,3,14:45 - 14:59,Cashier,17.49,4,4.37,4,4.37,4,4.37,1.0,1.0
,,,3,15:00 - 15:14,Cashier,20.14,4,5.04,4,5.04,4,5.04,1.0,1.0
,,,3,15:15 - 15:29,Cashier,25.78,5,5.16,5,5.16,5,5.16,1.0,1.0
,,,3,---,---,1252.93,213,5.88,213,5.88,213,5.88,1.0,1.0
,,,4,07:45 - 07:59,Cashier,10.19,1,10.19,1,10.19,1,10.19,1.0,1.0
,,,4,08:00 - 08:14,Cashier,23.4,4,5.85,4,5.85,4,5.85,1.0,1.0
,,,4,08:15 - 08:29,Cashier,11.65,3,3.88,3,3.88,3,3.88,1.0,1.0
,,,4,08:30 - 08:44,Cashier,27.24,6,4.54,6,4.54,6,4.54,1.0,1.0
,,,4,08:45 - 08:59,Cashier,24.84,2,12.42,2,12.42,2,12.42,1.0,1.0
,,,4,09:00 - 09:14,Cashier,70.76,15,4.72,15,4.72,15,4.72,1.0,1.0
,,,4,09:15 - 09:29,Cashier,58.5,8,7.31,8,7.31,8,7.31,1.0,1.0
,,,4,09:30 - 09:44,Cashier,13.6,3,4.53,3,4.53,3,4.53,1.0,1.0
,,,4,09:45 - 09:59,Cashier,52.67,7,7.52,7,7.52,7,7.52,1.0,1.0
,,,4,10:00 - 10:14,Cashier,11.3,2,5.65,2,5.65,2,5.65,1.0,1.0
,,,4,10:15 - 10:29,Cashier,27.65,6,4.61,6,4.61,6,4.61,1.0,1.0
,,,4,10:30 - 10:44,Cashier,34.67,6,5.78,6,5.78,6,5.78,1.0,1.0
,,,4,10:45 - 10:59,Cashier,40.44,5,8.09,5,8.09,5,8.09,1.0,1.0
,,,4,11:00 - 11:14,Cashier,32.02,5,6.4,5,6.4,5,6.4,1.0,1.0
,,,4,11:15 - 11:29,Cashier,37.04,5,7.41,5,7.41,5,7.41,1.0,1.0
,,,4,11:30 - 11:44,Cashier,14.75,2,7.38,2,7.38,2,7.38,1.0,1.0
,,,4,11:45 - 11:59,Cashier,22.79,4,5.7,4,5.7,4,5.7,1.0,1.0
,,,4,12:00 - 12:14,Cashier,32.25,5,6.45,5,6.45,5,6.45,1.0,1.0
,,,4,12:15 - 12:29,Cashier,65.32,11,5.94,11,5.94,11,5.94,1.0,1.0
,,,4,12:30 - 12:44,Cashier,44.71,7,6.39,7,6.39,7,6.39,1.0,1.0
,,,4,12:45 - 12:59,Cashier,37.53,5,7.51,5,7.51,5,7.51,1.0,1.0
,,,4,13:00 - 13:14,Cashier,37.47,7,5.35,7,5.35,7,5.35,1.0,1.0
,,,4,13:15 - 13:29,Cashier,35.21,9,3.91,9,3.91,9,3.91,1.0,1.0
,,,4,13:30 - 13:44,Cashier,31.8,5,6.36,5,6.36,5,6.36,1.0,1.0
,,,4,13:45 - 13:59,Cashier,17.99,4,4.5,4,4.5,4,4.5,1.0,1.0
,,,4,14:00 - 14:14,Cashier,12.5,2,6.25,2,6.25,2,6.25,1.0,1.0
,,,4,14:15 - 14:29,Cashier,29.14,6,4.86,6,4.86,6,4.86,1.0,1.0
,,,4,14:30 - 14:44,Cashier,14.75,3,4.92,3,4.92,3,4.92,1.0,1.0
,,,4,14:45 - 14:59,Cashier,14.94,1,14.94,1,14.94,1,14.94,1.0,1.0
,,,4,15:00 - 15:14,Cashier,23.14,4,5.79,4,5.79,4,5.79,1.0,1.0
,,,4,15:15 - 15:29,Cashier,24.72,5,4.94,5,4.94,5,4.94,1.0,1.0
,,,4,---,---,934.98,158,5.92,158,5.92,158,5.92,1.0,1.0
,,,7,07:30 - 07:44,Cashier,30.34,5,6.07,5,6.07,5,6.07,1.0,1.0
,,,7,07:45 - 07:59,Cashier,16.1,3,5.37,3,5.37,3,5.37,1.0,1.0
,,,7,08:00 - 08:14,Cashier,23.35,5,4.67,5,4.67,5,4.67,1.0,1.0
,,,7,08:15 - 08:29,Cashier,15.78,3,5.26,3,5.26,3,5.26,1.0,1.0
,,,7,08:30 - 08:44,Cashier,45.44,7,6.49,7,6.49,7,6.49,1.0,1.0
,,,7,08:45 - 08:59,Cashier,15.6,5,3.12,5,3.12,5,3.12,1.0,1.0
,,,7,09:00 - 09:14,Cashier,36.18,6,6.03,6,6.03,6,6.03,1.0,1.0
,,,7,09:15 - 09:29,Cashier,39.18,9,4.35,9,4.35,9,4.35,1.0,1.0
,,,7,09:30 - 09:44,Cashier,32.63,7,4.66,7,4.66,7,4.66,1.0,1.0
,,,7,09:45 - 09:59,Cashier,54.63,10,5.46,10,5.46,10,5.46,1.0,1.0
,,,7,10:00 - 10:14,Cashier,36.55,7,5.22,7,5.22,7,5.22,1.0,1.0
,,,7,10:15 - 10:29,Cashier,47.35,8,5.92,8,5.92,8,5.92,1.0,1.0
,,,7,10:30 - 10:44,Cashier,111.25,12,9.27,12,9.27,12,9.27,1.0,1.0
,,,7,10:45 - 10:59,Cashier,29.84,6,4.97,6,4.97,6,4.97,1.0,1.0
,,,7,11:00 - 11:14,Cashier,18.95,4,4.74,4,4.74,4,4.74,1.0,1.0
,,,7,11:15 - 11:29,Cashier,61.88,12,5.16,12,5.16,12,5.16,1.0,1.0
,,,7,11:30 - 11:44,Cashier,21.5,5,4.3,5,4.3,5,4.3,1.0,1.0
,,,7,11:45 - 11:59,Cashier,72.51,10,7.25,10,7.25,10,7.25,1.0,1.0
,,,7,12:00 - 12:14,Cashier,39.59,8,4.95,8,4.95,8,4.95,1.0,1.0
,,,7,12:15 - 12:29,Cashier,75.78,9,8.42,9,8.42,9,8.42,1.0,1.0
,,,7,12:30 - 12:44,Cashier,76.46,14,5.46,14,5.46,14,5.46,1.0,1.0
,,,7,12:45 - 12:59,Cashier,23.03,6,3.84,6,3.84,6,3.84,1.0,1.0
,,,7,13:00 - 13:14,Cashier,26.15,5,5.23,5,5.23,5,5.23,1.0,1.0
,,,7,13:15 - 13:29,Cashier,56.83,12,4.74,12,4.74,12,4.74,1.0,1.0
,,,7,13:30 - 13:44,Cashier,32.6,8,4.08,8,4.08,8,4.08,1.0,1.0
,,,7,13:45 - 13:59,Cashier,45.78,7,6.54,7,6.54,7,6.54,1.0,1.0
,,,7,14:00 - 14:14,Cashier,13.45,3,4.48,3,4.48,3,4.48,1.0,1.0
,,,7,14:15 - 14:29,Cashier,17.45,4,4.36,4,4.36,4,4.36,1.0,1.0
,,,7,14:30 - 14:44,Cashier,40.07,6,6.68,6,6.68,6,6.68,1.0,1.0
,,,7,14:45 - 14:59,Cashier,14.44,3,4.81,3,4.81,3,4.81,1.0,1.0
,,,7,15:00 - 15:14,Cashier,22.62,5,4.52,5,4.52,5,4.52,1.0,1.0
,,,7,15:15 - 15:29,Cashier,31.99,5,6.4,5,6.4,5,6.4,1.0,1.0
,,,7,---,---,1225.3,219,5.59,219,5.59,219,5.59,1.0,1.0
,,,8,07:30 - 07:44,Cashier,22.88,4,5.72,4,5.72,4,5.72,1.0,1.0
,,,8,07:45 - 07:59,Cashier,45.43,10,4.54,10,4.54,10,4.54,1.0,1.0
,,,8,08:00 - 08:14,Cashier,3.25,1,3.25,1,3.25,1,3.25,1.0,1.0
,,,8,08:15 - 08:29,Cashier,29.74,6,4.96,6,4.96,6,4.96,1.0,1.0
,,,8,08:30 - 08:44,Cashier,26.33,5,5.27,5,5.27,5,5.27,1.0,1.0
,,,8,08:45 - 08:59,Cashier,32.05,5,6.41,5,6.41,5,6.41,1.0,1.0
,,,8,09:00 - 09:14,Cashier,48.93,10,4.89,10,4.89,10,4.89,1.0,1.0
,,,8,09:15 - 09:29,Cashier,39.3,8,4.91,8,4.91,8,4.91,1.0,1.0
,,,8,09:30 - 09:44,Cashier,48.74,8,6.09,8,6.09,8,6.09,1.0,1.0
,,,8,09:45 - 09:59,Cashier,44.75,5,8.95,5,8.95,5,8.95,1.0,1.0
,,,8,10:00 - 10:14,Cashier,33.23,8,4.15,8,4.15,8,4.15,1.0,1.0
,,,8,10:15 - 10:29,Cashier,40.2,6,6.7,6,6.7,6,6.7,1.0,1.0
,,,8,10:30 - 10:44,Cashier,90.06,11,8.19,11,8.19,11,8.19,1.0,1.0
,,,8,10:45 - 10:59,Cashier,30.63,6,5.11,6,5.11,6,5.11,1.0,1.0
,,,8,11:00 - 11:14,Cashier,40.55,7,5.79,7,5.79,7,5.79,1.0,1.0
,,,8,11:15 - 11:29,Cashier,86.03,15,5.74,15,5.74,15,5.74,1.0,1.0
,,,8,11:30 - 11:44,Cashier,54.57,6,9.1,6,9.1,6,9.1,1.0,1.0
,,,8,11:45 - 11:59,Cashier,46.34,10,4.63,10,4.63,10,4.63,1.0,1.0
,,,8,12:00 - 12:14,Cashier,64.5,10,6.45,10,6.45,10,6.45,1.0,1.0
,,,8,12:15 - 12:29,Cashier,101.0,19,5.32,19,5.32,19,5.32,1.0,1.0
,,,8,12:30 - 12:44,Cashier,73.67,12,6.14,12,6.14,12,6.14,1.0,1.0
,,,8,12:45 - 12:59,Cashier,46.43,9,5.16,9,5.16,9,5.16,1.0,1.0
,,,8,13:00 - 13:14,Cashier,70.61,13,5.43,13,5.43,13,5.43,1.0,1.0
,,,8,13:15 - 13:29,Cashier,12.69,4,3.17,4,3.17,4,3.17,1.0,1.0
,,,8,13:30 - 13:44,Cashier,32.74,8,4.09,8,4.09,8,4.09,1.0,1.0
,,,8,13:45 - 13:59,Cashier,31.27,6,5.21,6,5.21,6,5.21,1.0,1.0
,,,8,14:00 - 14:14,Cashier,13.0,3,4.33,3,4.33,3,4.33,1.0,1.0
,,,8,14:15 - 14:29,Cashier,37.88,10,3.79,10,3.79,10,3.79,1.0,1.0
,,,8,14:30 - 14:44,Cashier,19.28,4,4.82,4,4.82,4,4.82,1.0,1.0
,,,8,14:45 - 14:59,Cashier,16.59,4,4.15,4,4.15,4,4.15,1.0,1.0
,,,8,15:00 - 15:14,Cashier,21.45,4,5.36,4,5.36,4,5.36,1.0,1.0
,,,8,15:15 - 15:29,Cashier,24.5,6,4.08,6,4.08,6,4.08,1.0,1.0
,,,8,15:45 - 15:59,Cashier,0.0,1,0.0,0,0.0,1,0.0,0.0,0.0
,,,8,---,---,1328.62,244,5.45,243,5.47,244,5.45,1.0,1.0
,,,9,07:30 - 07:44,Cashier,18.64,4,4.66,4,4.66,4,4.66,1.0,1.0
,,,9,07:45 - 07:59,Cashier,19.14,4,4.79,4,4.79,4,4.79,1.0,1.0
,,,9,08:00 - 08:14,Cashier,12.54,3,4.18,3,4.18,3,4.18,1.0,1.0
,,,9,08:15 - 08:29,Cashier,21.3,7,3.04,7,3.04,7,3.04,1.0,1.0
,,,9,08:30 - 08:44,Cashier,15.45,3,5.15,3,5.15,3,5.15,1.0,1.0
,,,9,08:45 - 08:59,Cashier,47.53,9,5.28,9,5.28,9,5.28,1.0,1.0
,,,9,09:00 - 09:14,Cashier,26.75,5,5.35,5,5.35,5,5.35,1.0,1.0
,,,9,09:15 - 09:29,Cashier,49.54,10,4.95,10,4.95,10,4.95,1.0,1.0
,,,9,09:30 - 09:44,Cashier,66.52,9,7.39,9,7.39,9,7.39,1.0,1.0
,,,9,09:45 - 09:59,Cashier,65.13,10,6.51,10,6.51,10,6.51,1.0,1.0
,,,9,10:00 - 10:14,Cashier,55.4,5,11.08,5,11.08,5,11.08,1.0,1.0
,,,9,10:15 - 10:29,Cashier,41.24,6,6.87,6,6.87,6,6.87,1.0,1.0
,,,9,10:30 - 10:44,Cashier,61.58,8,7.7,8,7.7,8,7.7,1.0,1.0
,,,9,10:45 - 10:59,Cashier,22.1,2,11.05,2,11.05,2,11.05,1.0,1.0
,,,9,11:00 - 11:14,Cashier,51.18,10,5.12,10,5.12,10,5.12,1.0,1.0
,,,9,11:15 - 11:29,Cashier,80.79,11,7.34,11,7.34,11,7.34,1.0,1.0
,,,9,11:30 - 11:44,Cashier,101.26,16,6.33,16,6.33,16,6.33,1.0,1.0
,,,9,11:45 - 11:59,Cashier,78.11,11,7.1,11,7.1,11,7.1,1.0,1.0
,,,9,12:00 - 12:14,Cashier,65.36,11,5.94,11,5.94,11,5.94,1.0,1.0
,,,9,12:15 - 12:29,Cashier,90.41,15,6.03,15,6.03,15,6.03,1.0,1.0
,,,9,12:30 - 12:44,Cashier,40.15,7,5.74,7,5.74,7,5.74,1.0,1.0
,,,9,12:45 - 12:59,Cashier,44.8,8,5.6,8,5.6,8,5.6,1.0,1.0
,,,9,13:00 - 13:14,Cashier,53.83,10,5.38,10,5.38,10,5.38,1.0,1.0
,,,9,13:15 - 13:29,Cashier,58.45,9,6.49,9,6.49,9,6.49,1.0,1.0
,,,9,13:30 - 13:44,Cashier,24.88,5,4.98,5,4.98,5,4.98,1.0,1.0
,,,9,13:45 - 13:59,Cashier,33.05,4,8.26,4,8.26,4,8.26,1.0,1.0
,,,9,14:00 - 14:14,Cashier,11.24,2,5.62,2,5.62,2,5.62,1.0,1.0
,,,9,14:15 - 14:29,Cashier,52.34,7,7.48,7,7.48,7,7.48,1.0,1.0
,,,9,14:30 - 14:44,Cashier,32.48,7,4.64,7,4.64,7,4.64,1.0,1.0
,,,9,14:45 - 14:59,Cashier,2.05,1,2.05,1,2.05,1,2.05,1.0,1.0
,,,9,15:00 - 15:14,Cashier,9.94,2,4.97,2,4.97,2,4.97,1.0,1.0
,,,9,15:15 - 15:29,Cashier,17.8,5,3.56,5,3.56,5,3.56,1.0,1.0
,,,9,15:30 - 15:44,Cashier,4.75,1,4.75,1,4.75,1,4.75,1.0,1.0
,,,9,---,---,1375.73,227,6.06,227,6.06,227,6.06,1.0,1.0
,,,10,07:45 - 07:59,Cashier,29.89,5,5.98,5,5.98,5,5.98,1.0,1.0
,,,10,08:00 - 08:14,Cashier,37.03,6,6.17,6,6.17,6,6.17,1.0,1.0
,,,10,08:15 - 08:29,Cashier,41.63,9,4.63,9,4.63,9,4.63,1.0,1.0
,,,10,08:30 - 08:44,Cashier,50.51,7,7.22,7,7.22,7,7.22,1.0,1.0
,,,10,08:45 - 08:59,Cashier,64.23,8,8.03,8,8.03,8,8.03,1.0,1.0
,,,10,09:00 - 09:14,Cashier,67.33,12,5.61,12,5.61,12,5.61,1.0,1.0
,,,10,09:15 - 09:29,Cashier,36.84,6,6.14,6,6.14,6,6.14,1.0,1.0
,,,10,09:30 - 09:44,Cashier,43.48,6,7.25,6,7.25,6,7.25,1.0,1.0
,,,10,09:45 - 09:59,Cashier,55.86,8,6.98,8,6.98,8,6.98,1.0,1.0
,,,10,10:00 - 10:14,Cashier,53.87,7,7.7,7,7.7,7,7.7,1.0,1.0
,,,10,10:15 - 10:29,Cashier,47.72,9,5.3,9,5.3,9,5.3,1.0,1.0
,,,10,10:30 - 10:44,Cashier,45.91,8,5.74,8,5.74,8,5.74,1.0,1.0
,,,10,10:45 - 10:59,Cashier,21.88,5,4.38,5,4.38,5,4.38,1.0,1.0
,,,10,11:00 - 11:14,Cashier,40.42,6,6.74,6,6.74,6,6.74,1.0,1.0
,,,10,11:15 - 11:29,Cashier,68.7,8,8.59,8,8.59,8,8.59,1.0,1.0
,,,10,11:30 - 11:44,Cashier,38.25,5,7.65,5,7.65,5,7.65,1.0,1.0
,,,10,11:45 - 11:59,Cashier,43.18,6,7.2,6,7.2,6,7.2,1.0,1.0
,,,10,12:00 - 12:14,Cashier,85.77,11,7.8,11,7.8,11,7.8,1.0,1.0
,,,10,12:15 - 12:29,Cashier,90.71,14,6.48,14,6.48,14,6.48,1.0,1.0
,,,10,12:30 - 12:44,Cashier,96.1,12,8.01,12,8.01,12,8.01,1.0,1.0
,,,10,12:45 - 12:59,Cashier,75.56,14,5.4,14,5.4,14,5.4,1.0,1.0
,,,10,13:00 - 13:14,Cashier,31.14,5,6.23,5,6.23,5,6.23,1.0,1.0
,,,10,13:15 - 13:29,Cashier,31.98,8,4.0,8,4.0,8,4.0,1.0,1.0
,,,10,13:30 - 13:44,Cashier,24.08,4,6.02,4,6.02,4,6.02,1.0,1.0
,,,10,13:45 - 13:59,Cashier,45.03,7,6.43,7,6.43,7,6.43,1.0,1.0
,,,10,14:00 - 14:14,Cashier,27.08,8,3.38,8,3.38,8,3.38,1.0,1.0
,,,10,14:15 - 14:29,Cashier,39.43,7,5.63,7,5.63,7,5.63,1.0,1.0
,,,10,14:30 - 14:44,Cashier,12.0,2,6.0,2,6.0,2,6.0,1.0,1.0
,,,10,14:45 - 14:59,Cashier,26.61,4,6.65,4,6.65,4,6.65,1.0,1.0
,,,10,15:00 - 15:14,Cashier,42.11,7,6.02,7,6.02,7,6.02,1.0,1.0
,,,10,15:15 - 15:29,Cashier,32.03,7,4.58,7,4.58,7,4.58,1.0,1.0
,,,10,---,---,1446.36,231,6.26,231,6.26,231,6.26,1.0,1.0
,,,11,07:30 - 07:44,Cashier,15.25,3,5.08,3,5.08,3,5.08,1.0,1.0
,,,11,07:45 - 07:59,Cashier,6.82,2,3.41,2,3.41,2,3.41,1.0,1.0
,,,11,08:00 - 08:14,Cashier,34.53,8,4.32,8,4.32,8,4.32,1.0,1.0
,,,11,08:15 - 08:29,Cashier,14.64,3,4.88,3,4.88,3,4.88,1.0,1.0
,,,11,08:30 - 08:44,Cashier,39.32,7,5.62,7,5.62,7,5.62,1.0,1.0
,,,11,08:45 - 08:59,Cashier,52.35,8,6.54,8,6.54,8,6.54,1.0,1.0
,,,11,09:00 - 09:14,Cashier,36.17,6,6.03,6,6.03,6,6.03,1.0,1.0
,,,11,09:15 - 09:29,Cashier,37.79,7,5.4,7,5.4,7,5.4,1.0,1.0
,,,11,09:30 - 09:44,Cashier,22.68,3,7.56,3,7.56,3,7.56,1.0,1.0
