Store,Year,Month,Date,Day Part,Table Type,Net Sales,# Trans,Avg / Trans,# Guests,Avg / Guest,# Tables,Avg / Table,# Guest / Trans,# Guest / Table
UW Dining,2022,2,1,07:45 - 07:59,Cashier,5.45,1,5.45,1,5.45,1,5.45,1.0,1.0
,,,1,08:00 - 08:14,Cashier,13.65,2,6.83,2,6.83,2,6.83,1.0,1.0
,,,1,08:15 - 08:29,Cashier,66.18,8,8.27,8,8.27,8,8.27,1.0,1.0
,,,1,08:30 - 08:44,Cashier,34.95,6,5.83,6,5.83,6,5.83,1.0,1.0
,,,1,08:45 - 08:59,Cashier,31.23,6,5.21,6,5.21,6,5.21,1.0,1.0
,,,1,09:00 - 09:14,Cashier,39.38,7,5.63,7,5.63,7,5.63,1.0,1.0
,,,1,09:15 - 09:29,Cashier,43.53,9,4.84,9,4.84,9,4.84,1.0,1.0
,,,1,09:30 - 09:44,Cashier,53.03,9,5.89,9,5.89,9,5.89,1.0,1.0
,,,1,09:45 - 09:59,Cashier,57.4,9,6.38,9,6.38,9,6.38,1.0,1.0
,,,1,10:00 - 10:14,Cashier,21.74,4,5.43,4,5.43,4,5.43,1.0,1.0
,,,1,10:15 - 10:29,Cashier,47.27,7,6.75,7,6.75,7,6.75,1.0,1.0
,,,1,10:30 - 10:44,Cashier,51.1,9,5.68,9,5.68,9,5.68,1.0,1.0
,,,1,10:45 - 10:59,Cashier,56.52,8,7.07,8,7.07,8,7.07,1.0,1.0
,,,1,11:00 - 11:14,Cashier,59.4,10,5.94,10,5.94,10,5.94,1.0,1.0
,,,1,11:15 - 11:29,Cashier,54.92,8,6.87,8,6.87,8,6.87,1.0,1.0
,,,1,11:30 - 11:44,Cashier,71.56,14,5.11,14,5.11,14,5.11,1.0,1.0
,,,1,11:45 - 11:59,Cashier,96.84,15,6.46,15,6.46,15,6.46,1.0,1.0
,,,1,12:00 - 12:14,Cashier,62.67,8,7.83,8,7.83,8,7.83,1.0,1.0
,,,1,12:15 - 12:29,Cashier,76.69,14,5.48,14,5.48,14,5.48,1.0,1.0
,,,1,12:30 - 12:44,Cashier,64.41,9,7.16,9,7.16,9,7.16,1.0,1.0
,,,1,12:45 - 12:59,Cashier,64.67,9,7.19,9,7.19,9,7.19,1.0,1.0
,,,1,13:00 - 13:14,Cashier,72.88,13,5.61,13,5.61,13,5.61,1.0,1.0
,,,1,13:15 - 13:29,Cashier,97.94,15,6.53,15,6.53,15,6.53,1.0,1.0
,,,1,13:30 - 13:44,Cashier,35.13,5,7.03,5,7.03,5,7.03,1.0,1.0
,,,1,13:45 - 13:59,Cashier,39.63,7,5.66,7,5.66,7,5.66,1.0,1.0
,,,1,14:00 - 14:14,Cashier,70.02,11,6.37,11,6.37,11,6.37,1.0,1.0
,,,1,14:15 - 14:29,Cashier,37.8,8,4.72,8,4.72,8,4.72,1.0,1.0
,,,1,14:30 - 14:44,Cashier,57.43,11,5.22,11,5.22,11,5.22,1.0,1.0
,,,1,14:45 - 14:59,Cashier,68.68,11,6.24,11,6.24,11,6.24,1.0,1.0
,,,1,15:00 - 15:14,Cashier,58.48,12,4.87,12,4.87,12,4.87,1.0,1.0
,,,1,15:15 - 15:29,Cashier,34.51,7,4.93,7,4.93,7,4.93,1.0,1.0
,,,1,15:30 - 15:44,Cashier,43.63,8,5.45,8,5.45,8,5.45,1.0,1.0
,,,1,15:45 - 15:59,Cashier,51.39,9,5.71,9,5.71,9,5.71,1.0,1.0
,,,1,16:00 - 16:14,Cashier,32.82,5,6.56,5,6.56,5,6.56,1.0,1.0
,,,1,16:15 - 16:29,Cashier,19.32,4,4.83,4,4.83,4,4.83,1.0,1.0
,,,1,16:30 - 16:44,Cashier,23.89,4,5.97,4,5.97,4,5.97,1.0,1.0
,,,1,16:45 - 16:59,Cashier,20.5,5,4.1,5,4.1,5,4.1,1.0,1.0
,,,1,17:00 - 17:14,Cashier,18.92,2,9.46,2,9.46,2,9.46,1.0,1.0
,,,1,17:30 - 17:44,Cashier,4.95,1,4.95,1,4.95,1,4.95,1.0,1.0
,,,1,---,---,1860.51,310,6.0,310,6.0,310,6.0,1.0,1.0
,,,2,08:00 - 08:14,Cashier,13.44,3,4.48,3,4.48,3,4.48,1.0,1.0
,,,2,08:15 - 08:29,Cashier,15.54,3,5.18,3,5.18,3,5.18,1.0,1.0
,,,2,08:30 - 08:44,Cashier,11.09,3,3.7,3,3.7,3,3.7,1.0,1.0
,,,2,08:45 - 08:59,Cashier,12.85,3,4.28,3,4.28,3,4.28,1.0,1.0
,,,2,09:00 - 09:14,Cashier,67.94,10,6.79,10,6.79,10,6.79,1.0,1.0
,,,2,09:15 - 09:29,Cashier,65.53,11,5.96,11,5.96,11,5.96,1.0,1.0
